,phrase,label,sentiment,subjectivity,language,count
Oder,Oder,ORG,0.375,0.0,en,1.0
Siri,Siri,ORG,0.13636363636363635,0.0,en,1.0
Google Gemini,Google Gemini,ORG,0.0,0.0,en,1.0
Xabi,Xabi,ORG,0.10000000000000002,0.0,en,1.0
CDATA,CDATA,ORG,0.2857142857142857,0.0,en,1.0
Sony,Sony,ORG,0.0,0.0,en,1.0
TCL,TCL,ORG,0.0,0.0,en,1.0
Sony Corporation,Sony Corporation,ORG,0.13333333333333333,0.0,en,1.0
TCL Electronics,TCL Electronics,ORG,0.13333333333333333,0.0,en,1.0
Atalanta Bergamo,Atalanta Bergamo,ORG,0.0,0.0,en,1.0
Projekt RED,Projekt RED,ORG,0.0,0.0,en,1.0
Apple Intelligence,Apple Intelligence,ORG,0.0,0.0,en,1.0
The Information,The Information,ORG,-0.125,0.0,en,1.0
IMAP,IMAP,ORG,0.10833333333333334,0.0,en,1.0
Java,Java,ORG,-0.06666666666666667,0.0,en,1.0
the National Guard,the National Guard,ORG,0.13636363636363635,0.0,en,1.0
The Great Orchestra of Christmas Charity,The Great Orchestra of Christmas Charity,ORG,0.4,0.0,en,1.0
Tusk,Tusk,ORG,-0.2,0.0,en,1.0
Pandora,Pandora,ORG,0.0,0.0,en,1.0
the Central Military Commission,the Central Military Commission,ORG,-0.016666666666666663,0.0,en,1.0
WSJ,WSJ,ORG,-0.016666666666666663,0.0,en,1.0
the Institute of Meteorology and Water Management,the Institute of Meteorology and Water Management,ORG,0.0625,0.0,en,1.0
PZŁS,PZŁS,ORG,-0.125,0.0,en,1.0
Republican Party,Republican Party,ORG,0.0,0.0,en,1.0
Szulkin,Szulkin,ORG,0.5,0.0,en,1.0
iPhone,iPhone,ORG,0.2,0.0,en,1.0
"the ""National Ammunition Reserve""","the ""National Ammunition Reserve""",ORG,-0.3333333333333333,0.0,en,1.0
Sabalenka,Sabalenka,ORG,0.0,0.0,en,1.0
AI,AI,ORG,0.0,0.0,en,1.0
diyAudio,diyAudio,ORG,-0.1,0.0,en,1.0
Szczawno,Szczawno,ORG,0.0,0.0,en,1.0
the Nursing Home,the Nursing Home,ORG,0.0,0.0,en,1.0
Flamingo,Flamingo,ORG,0.1,0.0,en,1.0
Kowalczyk,Kowalczyk,ORG,0.2857142857142857,0.0,en,1.0
ICE,ICE,ORG,0.0,0.0,en,1.0
Microsoft Gaming,Microsoft Gaming,ORG,0.02227272727272727,0.0,en,1.0
Merz,Merz,ORG,0.0,0.0,en,1.0
the US Supreme Court,the US Supreme Court,ORG,0.09166666666666667,0.0,en,1.0
Belgrade Maracana,Belgrade Maracana,ORG,0.04999999999999999,0.0,en,1.0
Red Star,Red Star,ORG,0.0,0.0,en,1.0
The Post Office,The Post Office,ORG,0.39999999999999997,0.0,en,1.0
